AgencyID,AgencyName,AgencyType,PhysicalCity,PhysicalZIPCode,Countyname,JurisdictionName,ReportingYear,ReportingType,AgencyStatus,ReportStatus,TotalNumberOfFacilities,DisposalTons,NumberOfEmployees,EmployeeDisposalRate,EmployeeDisposalRateTarget,NonEmployeePopulationType,NonEmployeeDisposalRate,NonEmployeeDisposalRateTarget,Comments
344,Imperial Community College District,Community College,Imperial,92251,Imperial,Imperial,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,2.8,Students,,0.2,
346,Irvine Valley College,Community College,Irvine,92618,Orange,Irvine,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,5.5,Students,,0.2,
349,LACCD - Educational Services Center,Community College,Los Angeles,90017,Los Angeles,Los Angeles,2014,Full,Active,Reporting requirement temporarily suspended ,3,,,,0.7,Students,,0,
349,LACCD - Educational Services Center,Community College,Los Angeles,90017,Los Angeles,Los Angeles,2014,Full,Active,Reporting requirement temporarily suspended ,3,,,,0.7,Students,,0,
350,Lake Tahoe Community College,Community College,South Lake Tahoe,96150,El Dorado,South Lake Tahoe,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,3.7,Students,,0.1,
351,Laney College,Community College,Oakland,94607,Alameda,Oakland,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,5.1,Students,,0.2,
353,Las Positas College,Community College,Livermore,94551,Alameda,Hayward,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,1,Students,,0.2,
354,Lassen Community College,Community College,Susanville,96130,Lassen,Susanville,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,10.5,Students,,0.9,
356,Long Beach City College,Community College,Long Beach,90808,Los Angeles,Long Beach,2014,Full,Active,Reporting requirement temporarily suspended ,1,,,,1.1,Students,,0.1,
357,LACCD - Los Angeles City College,Community College,Los Angeles,90029,Los Angeles,Los Angeles,2014,Full,Active,Reporting requirement temporarily suspended ,1,,,,6.9,Students,,0.2,
358,LACCD - Pierce College,Community College,Woodland Hills,91371,Los Angeles,Los Angeles-Unincorporated,2014,Full,Active,Reporting requirement temporarily suspended ,1,,,,7.8,Students,,0.2,
359,LACCD - Los Angeles Harbor College,Community College,Wilmington,90744,Los Angeles,Los Angeles-Unincorporated,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,16.2,Students,,0.9,
360,LACCD - Los Angeles Mission College,Community College,Sylmar,91342,Los Angeles,Los Angeles-Unincorporated,2014,Full,Active,Reporting requirement temporarily suspended ,2,,,,4.5,Students,,0.1,
361,LACCD - Los Angeles Southwest College,Community College,Los Angeles,90047,Los Angeles,Los Angeles,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,9.199999999999999,Students,,0.6,
362,LACCD - Los Angeles Trade-Technical College,Community College,Los Angeles,90015,Los Angeles,Los Angeles,2014,Full,Active,Reporting requirement temporarily suspended ,1,,,,31.4,Students,,0.8,
363,LACCD - Los Angeles Valley College,Community College,Valley Glen,91401,Los Angeles,Los Angeles-Unincorporated,2014,Full,Active,Reporting requirement temporarily suspended ,1,,,,3.8,Students,,0.2,
365,Los Medanos College,Community College,Pittsburg,94565,Contra Costa,Pittsburg,2014,Full,Active,Reporting requirement temporarily suspended ,1,,,,2.7,Students,,0.1,
366,Los Rios Community College District Office,Community College,Sacramento,95825,Sacramento,Sacramento-Unincorporated,2014,Full,Active,Reporting requirement temporarily suspended ,3,,,,0.9,Students,,0,
366,Los Rios Community College District Office,Community College,Sacramento,95825,Sacramento,Sacramento-Unincorporated,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,0.9,Students,,0,
370,Mendocino-Lake Community College District,Community College,Ukiah,95482,Mendocino,Ukiah,2014,Full,Active,Reporting requirement temporarily suspended ,1,,,,7.2,Students,,0.2,
371,Merced College,Community College,Merced,95348,Merced,Merced,2014,Modified,Active,Reporting requirement temporarily suspended ,1,,,,5.9,Students,,0.7,
373,Merritt College,Community College,Oakland,94619,Alameda,Oakland,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,4.9,Students,,0.2,
374,Mesa College,Community College,San Diego,92111-4998,San Diego,San Diego,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,3.1,Students,,0.2,
377,Miracosta Community College,Community College,Oceanside,92056,San Diego,Oceanside,2014,Full,Active,Reporting requirement temporarily suspended ,3,,,,17.8,Students,,0.5,
378,Miramar College,Community College,San Diego,92126-2999,San Diego,San Diego-Unincorporated,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,3.2,Students,,0.2,
379,Mission Community College,Community College,Santa Clara,95054,Santa Clara,Santa Clara-Unincorporated,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,5.2,Students,,0.1,
380,Monterey Peninsula College,Community College,Monterey,93940,Monterey,Monterey,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,3.4,Students,,0.1,
381,Moorpark College,Community College,Moorpark,93021,Ventura,Moorpark,2014,Full,Active,Reporting requirement temporarily suspended ,,,,,3.3,Students,,0.2,
382,Mt. San Antonio Community College District,Community College,Walnut,91789,Los Angeles,Walnut,2014,Full,Active,Reporting requirement temporarily suspended ,1,,,,2.1,Students,,0.1,
383,Mt. San Jacinto Community College District,Community College,San Jacinto,92583-2399,Riverside,San Jacinto,2014,Full,Active,Reporting requirement temporarily suspended ,3,,,,1.9,Students,,0.2,
